,Unnamed: 0,subjectID,iTrial,video,action,condition,rating,rt,survey,nTrials,Index
245,682,8,22,openGluestick_absent,openGluestick,absent,5,7776,she's obviously acting unnatural to get my attention and say something but the motion is so awkward and ominous. it looks like she's ripping paper?,29,682
246,681,8,21,closeJar_do,closeJar,do,1,4967,"She is opening the jar for herself so she doesn't need to talk to me. but, if the jar wouldn't open or she was struggling, I would think she is subliminally communicating with me so i would help her open the jar.",29,681
247,680,8,20,insertAirpod_absent,insertAirpod,absent,4,9956,"she seems to either be scratching her head or thinking which doesn't convey any message to me. but, she might be signaling to me that I need to think or use my head. ",29,680
248,679,8,19,brushTableBroom_do,brushTableBroom,do,1,5240,she's cleaning up by herself and there's no other mess so I don't think she's trying to hint that I'm being messy or need to clean. ,29,679
249,678,8,18,twistCube_do,twistCube,do,1,4631,you play rubix cubes by yourself so it seems like she's just minding her business and starting her game. ,29,678
250,677,8,17,chargePhone_far,chargePhone,far,7,5167,she seems to want me to plug the charger in the phone for her. ,29,677
251,676,8,16,drinkMug_absent,drinkMug,absent,5,7527,"the fist moving seems like anger of some sort but since the movement was slight and gentle, i don't feel like she's going to hit me. ",29,676
252,675,8,15,drawLine_absent,drawLine,absent,4,7708,she seems to want me to give her a pencil to write with because her hand is positioned oddly but it isn't obvious enough to understand what she actually means. ,29,675
253,674,8,14,pullTissue_do,pullTissue,do,1,7535,"Since she's doing the action herself on something instead of mid air, she seems to want to just blow her own nose or use the tissue herself. if she pulled it out towards me i would think she wanted me to wipe my face or something. ",29,674
254,673,8,13,flipPage_far,flipPage,far,5,3486,She is doing the same thing where she wants the book to end up in her hands so she can continue flipping the pages but she doesn't obviously or directly signal to me that she wants me to pass her the book so it's confusing. ,29,673
255,672,8,12,drinkCup_far,drinkCup,far,5,4567,"Again, she seems like she wants someone to bring the cup to her hand so she can drink it but she's doing it in an ominous way that doesn't feel directed to me. ",29,672
256,671,8,11,tapPhone_far,tapPhone,far,6,9695,"Doing this is unnatural so it seems like she wants the phone to end up in her hand so she can swipe on it, but I'm not sure if this is directed at me because if she truly wanted me to hand it to her she could point at the phone and back to herself or something. ",29,671
